""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"203616_at"	1.12e-05	2.06e-10	7.83735484	13.333077	0.65	"203616_at"	"POLB"	"ENST00000521418|ENSG00000070501"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"POLB-210|POLB"	"GPL570"
"219283_at"	9.55e-05	5.24e-09	6.96142446	10.346131	0.794	"219283_at"	"C1GALT1C1"	"ENSG00000171155"	"gene"	"protein_coding"	"C1GALT1C1"	"GPL570"
"225850_at"	0.0001038	8.7e-09	6.82459258	9.877368	0.516	"225850_at"	"SFT2D1"	"ENST00000479490|ENSG00000198818|ENST00000487841|ENST00000478705"	"lnc_RNA|gene|lnc_RNA|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript|processed_transcript"	"SFT2D1-203|SFT2D1|SFT2D1-204|SFT2D1-202"	"GPL570"
"222101_s_at"	0.0001038	1.1e-08	-6.7612041	9.660181	-0.652	"222101_s_at"	"DCHS1"	"ENSG00000166341"	"gene"	"protein_coding"	"DCHS1"	"GPL570"
"213408_s_at"	0.0001038	1.16e-08	-6.74738901	9.612847	-0.46	"213408_s_at"	"PI4KAP1"	"ENST00000610959|ENST00000619742|ENST00000652586|ENST00000617243|ENST00000618794"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"processed_transcript|processed_transcript|processed_transcript|processed_transcript|processed_transcript"	"PI4KAP1-201|PI4KAP1-208|PI4KAP1-209|PI4KAP1-206|PI4KAP1-207"	"GPL570"
"202300_at"	0.0001038	1.48e-08	6.68182889	9.388236	0.423	"202300_at"	"LAMTOR5"	"ENSG00000134248|ENST00000464240"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"LAMTOR5|LAMTOR5-202"	"GPL570"
"210117_at"	0.0001038	1.52e-08	6.67370902	9.36042	1.01	"210117_at"	"SPAG1"	"ENSG00000104450|ENST00000519409"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"SPAG1|SPAG1-203"	"GPL570"
"203964_at"	0.0001166	1.92e-08	6.61058109	9.144187	0.685	"203964_at"	"NMI"	"ENSG00000123609"	"gene"	"protein_coding"	"NMI"	"GPL570"
"208678_at"	0.0001388	2.76e-08	6.51228255	8.807618	0.323	"208678_at"	"ATP6V1E1"	"ENSG00000131100"	"gene"	"protein_coding"	"ATP6V1E1"	"GPL570"
"202763_at"	0.0001388	2.96e-08	6.49316097	8.742172	0.778	"202763_at"	"CASP3"	"ENSG00000164305"	"gene"	"protein_coding"	"CASP3"	"GPL570"
"203397_s_at"	0.0001388	4.08e-08	6.40656485	8.445917	0.815	"203397_s_at"	"GALNT3"	"ENSG00000115339"	"gene"	"protein_coding"	"GALNT3"	"GPL570"
"202427_s_at"	0.0001388	4.11e-08	6.40463392	8.439314	0.298	"202427_s_at"	"MPC2"	"ENSG00000143158"	"gene"	"protein_coding"	"MPC2"	"GPL570"
"1557300_s_at"	0.0001388	4.25e-08	-6.39551655	8.408137	-0.464	"1557300_s_at"	"NELFA"	"ENSG00000185049"	"gene"	"protein_coding"	"NELFA"	"GPL570"
"208710_s_at"	0.0001388	4.36e-08	-6.38894142	8.385656	-0.401	"208710_s_at"	"AP3D1"	"ENSG00000065000"	"gene"	"protein_coding"	"AP3D1"	"GPL570"
"217883_at"	0.0001388	4.83e-08	6.36080792	8.28948	0.363	"217883_at"	"MMADHC"	"ENSG00000168288"	"gene"	"protein_coding"	"MMADHC"	"GPL570"
"216231_s_at"	0.0001388	5.02e-08	6.35052025	8.254318	0.336	"216231_s_at"	"B2M"	"ENST00000560681|ENST00000559220|ENSG00000166710|ENST00000559720|ENST00000559907"	"lnc_RNA|lnc_RNA|gene|lnc_RNA|lnc_RNA"	"retained_intron|processed_transcript|protein_coding|retained_intron|processed_transcript"	"B2M-209|B2M-204|B2M|B2M-205|B2M-206"	"GPL570"
"1554599_x_at"	0.0001388	5.26e-08	-6.33764047	8.210304	-0.313	"1554599_x_at"	"LIG3"	"ENSG00000005156"	"gene"	"protein_coding"	"LIG3"	"GPL570"
"229584_at"	0.0001437	5.96e-08	6.30398683	8.095331	0.893	"229584_at"	"LRRK2"	"ENST00000681773|ENST00000479187|ENSG00000188906"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"LRRK2-221|LRRK2-206|LRRK2"	"GPL570"
"207966_s_at"	0.0001437	6.05e-08	-6.29977101	8.080932	-0.539	"207966_s_at"	"GLG1"	"ENSG00000090863"	"gene"	"protein_coding"	"GLG1"	"GPL570"
"231862_at"	0.0001552	7.1e-08	-6.25619988	7.932162	-0.588	"231862_at"	"CBX5"	"ENSG00000094916"	"gene"	"protein_coding"	"CBX5"	"GPL570"
"225157_at"	0.0001579	7.86e-08	-6.22872148	7.838388	-0.432	"225157_at"	"MLXIP"	"ENSG00000175727"	"gene"	"protein_coding"	"MLXIP"	"GPL570"
"46947_at"	0.0001579	8.03e-08	-6.2228665	7.818412	-0.41	"46947_at"	"GNL3L"	"ENSG00000130119"	"gene"	"protein_coding"	"GNL3L"	"GPL570"
"205173_x_at"	0.0002157	1.25e-07	6.10329107	7.410875	0.768	"205173_x_at"	"CD58"	"ENSG00000116815"	"gene"	"protein_coding"	"CD58"	"GPL570"
"208864_s_at"	0.0002157	1.3e-07	6.09167038	7.371317	0.957	"208864_s_at"	"TXN"	"ENST00000487892|ENSG00000136810"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"TXN-203|TXN"	"GPL570"
"210616_s_at"	0.0002157	1.34e-07	-6.08289939	7.341466	-0.396	"210616_s_at"	"SEC31A"	"ENST00000505479|ENSG00000138674"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SEC31A-216|SEC31A"	"GPL570"
"225904_at"	0.0002157	1.34e-07	6.08405658	7.345404	0.648	"225904_at"	"CCSAP"	"ENSG00000154429"	"gene"	"protein_coding"	"CCSAP"	"GPL570"
"207081_s_at"	0.0002259	1.45e-07	-6.06238277	7.271659	-0.398	"207081_s_at"	"PI4KA"	"ENSG00000241973|ENST00000492581|ENST00000477245|ENST00000466772"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"PI4KA|PI4KA-217|PI4KA-209|PI4KA-207"	"GPL570"
"222702_x_at"	0.0002544	1.69e-07	6.01965334	7.126372	0.591	"222702_x_at"	"CRIPT"	"ENST00000486447|ENSG00000119878"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"CRIPT-202|CRIPT"	"GPL570"
"225704_at"	0.0002544	1.72e-07	-6.01485481	7.110064	-0.346	"225704_at"	"FBRSL1"	"ENSG00000112787"	"gene"	"protein_coding"	"FBRSL1"	"GPL570"
"238612_at"	0.0002636	1.83e-07	-5.99785799	7.052316	-0.424	"238612_at"	"BRD4"	"ENSG00000141867"	"gene"	"protein_coding"	"BRD4"	"GPL570"
"201858_s_at"	0.0002838	2.07e-07	5.96488578	6.940354	0.532	"201858_s_at"	"SRGN"	"ENSG00000122862|ENST00000462445"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"SRGN|SRGN-202"	"GPL570"
"214329_x_at"	0.0002871	2.21e-07	5.94719341	6.880313	0.744	"214329_x_at"	"TNFSF10"	"ENSG00000121858"	"gene"	"protein_coding"	"TNFSF10"	"GPL570"
"204781_s_at"	0.0002947	2.39e-07	5.92541246	6.806433	0.795	"204781_s_at"	"FAS"	"ENSG00000026103"	"gene"	"protein_coding"	"FAS"	"GPL570"
"212098_at"	0.0002947	2.42e-07	-5.92210451	6.795216	-0.442	"212098_at"	"MGAT5"	"ENSG00000152127"	"gene"	"protein_coding"	"MGAT5"	"GPL570"
"233632_s_at"	0.0002947	2.43e-07	5.92103867	6.791602	0.547	"233632_s_at"	"XRN1"	"ENSG00000114127"	"gene"	"protein_coding"	"XRN1"	"GPL570"
"203897_at"	0.0002953	2.54e-07	5.90872458	6.749856	0.428	"203897_at"	"LYRM1"	"ENSG00000102897"	"gene"	"protein_coding"	"LYRM1"	"GPL570"
"217811_at"	0.0002983	2.62e-07	5.90017931	6.720895	0.573	"217811_at"	"SELENOT"	"ENST00000466234|ENSG00000198843"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SELENOT-201|SELENOT"	"GPL570"
"226143_at"	0.0003421	3.11e-07	-5.85383885	6.563952	-0.517	"226143_at"	"RAI1"	"ENSG00000108557"	"gene"	"protein_coding"	"RAI1"	"GPL570"
"226035_at"	0.0003523	3.41e-07	-5.82838147	6.47782	-0.36	"226035_at"	"USP31"	"ENSG00000103404"	"gene"	"protein_coding"	"USP31"	"GPL570"
"217971_at"	0.0003523	3.42e-07	5.82744997	6.47467	0.881	"217971_at"	"LAMTOR3"	"ENSG00000109270"	"gene"	"protein_coding"	"LAMTOR3"	"GPL570"
"200825_s_at"	0.0003701	3.66e-07	-5.80877323	6.411521	-0.439	"200825_s_at"	"HYOU1"	"ENSG00000149428"	"gene"	"protein_coding"	"HYOU1"	"GPL570"
"222408_s_at"	0.0003701	3.82e-07	5.7966575	6.370574	0.542	"222408_s_at"	"YPEL5"	"ENSG00000119801"	"gene"	"protein_coding"	"YPEL5"	"GPL570"
"54970_at"	0.0003701	3.91e-07	-5.7906533	6.350288	-0.366	"54970_at"	"ZMIZ2"	"ENSG00000122515|ENST00000478045|ENST00000463056"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron"	"ZMIZ2|ZMIZ2-210|ZMIZ2-208"	"GPL570"
"226155_at"	0.0003705	4.05e-07	5.78100414	6.317694	0.723	"226155_at"	"FAM160B1"	"ENSG00000151553"	"gene"	"protein_coding"	"FAM160B1"	"GPL570"
"224372_at"	0.0003705	4.07e-07	-5.77954015	6.312749	-0.284	"224372_at"	"MT"	"ENSG00000198886"	"gene"	"protein_coding"	"MT-ND4"	"GPL570"
"223993_s_at"	0.0003706	4.22e-07	5.76971794	6.279582	0.81	"223993_s_at"	"CNIH4"	"ENSG00000143771|ENST00000366860|ENST00000468318"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"CNIH4|CNIH4-204|CNIH4-206"	"GPL570"
"241867_at"	0.0003706	4.26e-07	-5.76729839	6.271413	-0.392	"241867_at"	"PARP6"	"ENST00000569972|ENST00000566831|ENSG00000137817|ENST00000413097|ENST00000544520"	"lnc_RNA|lnc_RNA|gene|lnc_RNA|lnc_RNA"	"retained_intron|retained_intron|protein_coding|processed_transcript|processed_transcript"	"PARP6-222|PARP6-209|PARP6|PARP6-203|PARP6-205"	"GPL570"
"219161_s_at"	0.0003706	4.31e-07	5.76357085	6.25883	0.742	"219161_s_at"	"CKLF"	"ENSG00000217555|ENST00000526149|ENST00000563092|ENSG00000254788"	"gene|lnc_RNA|lnc_RNA|gene"	"protein_coding|retained_intron|processed_transcript|protein_coding"	"CKLF|CKLF-206|CKLF-208|CKLF-CMTM1"	"GPL570"
"36129_at"	0.0003706	4.34e-07	-5.76175383	6.252696	-0.292	"36129_at"	"SGSM2"	"ENST00000572841|ENSG00000141258"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SGSM2-204|SGSM2"	"GPL570"
"201999_s_at"	0.0003735	4.44e-07	5.75536349	6.231128	0.661	"201999_s_at"	"DYNLT1"	"ENSG00000146425|ENST00000367088"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"DYNLT1|DYNLT1-202"	"GPL570"
"225702_at"	0.0003735	4.51e-07	5.75113958	6.216875	0.324	"225702_at"	"C8orf76"	"ENSG00000189376"	"gene"	"protein_coding"	"C8orf76"	"GPL570"
"226546_at"	0.0003768	4.78e-07	5.73555926	6.164315	0.465	"226546_at"	"GIHCG"	"ENSG00000257698|ENST00000659090|ENST00000656617|ENST00000655884|ENST00000653595|ENST00000668073|ENST00000664635|ENST00000551421|ENST00000667438|ENST00000546580|ENST00000547492"	"ncRNA_gene|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|lncRNA|retained_intron"	"GIHCG|GIHCG-209|GIHCG-208|GIHCG-207|GIHCG-205|GIHCG-213|GIHCG-211|GIHCG-203|GIHCG-212|GIHCG-201|GIHCG-202"	"GPL570"
"208066_s_at"	0.0003768	4.82e-07	5.73283157	6.155116	0.522	"208066_s_at"	"GTF2B"	"ENSG00000137947"	"gene"	"protein_coding"	"GTF2B"	"GPL570"
"226896_at"	0.0004245	5.54e-07	5.69499842	6.027609	0.448	"226896_at"	"CHCHD1"	"ENSG00000172586"	"gene"	"protein_coding"	"CHCHD1"	"GPL570"
"205214_at"	0.0004245	5.91e-07	5.67709418	5.967323	0.667	"205214_at"	"STK17B"	"ENSG00000081320"	"gene"	"protein_coding"	"STK17B"	"GPL570"
"208808_s_at"	0.0004245	5.97e-07	5.67420897	5.957612	0.912	"208808_s_at"	"HMGB2"	"ENSG00000164104|ENST00000511316"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"HMGB2|HMGB2-205"	"GPL570"
"201164_s_at"	0.0004245	6e-07	-5.67285752	5.953063	-0.375	"201164_s_at"	"PUM1"	"ENSG00000134644"	"gene"	"protein_coding"	"PUM1"	"GPL570"
"213911_s_at"	0.0004245	6.26e-07	5.66099531	5.913148	0.372	"213911_s_at"	"H2AZ1"	"ENSG00000164032|ENST00000511348|ENST00000511203|ENST00000511319"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"H2AZ1|H2AZ1-204|H2AZ1-202|H2AZ1-203"	"GPL570"
"202189_x_at"	0.0004245	6.41e-07	-5.65460506	5.891652	-0.329	"202189_x_at"	"PTBP1"	"ENSG00000011304"	"gene"	"protein_coding"	"PTBP1"	"GPL570"
"217734_s_at"	0.0004245	6.53e-07	-5.64939874	5.874143	-0.389	"217734_s_at"	"WDR6"	"ENSG00000178252"	"gene"	"protein_coding"	"WDR6"	"GPL570"
"203351_s_at"	0.0004245	6.58e-07	5.64747708	5.867681	0.574	"203351_s_at"	"ORC4"	"ENSG00000115947"	"gene"	"protein_coding"	"ORC4"	"GPL570"
"200620_at"	0.0004245	6.6e-07	5.64665216	5.864907	0.359	"200620_at"	"TMEM59"	"ENSG00000116209|ENST00000470395"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"TMEM59|TMEM59-209"	"GPL570"
"201591_s_at"	0.0004245	6.61e-07	-5.64621447	5.863435	-0.315	"201591_s_at"	"NISCH"	"ENSG00000010322|ENST00000489895"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"NISCH|NISCH-213"	"GPL570"
"219356_s_at"	0.000442	7.01e-07	5.62996664	5.808818	1.02	"219356_s_at"	"SLC9A7"	"ENSG00000065923"	"gene"	"protein_coding"	"SLC9A7"	"GPL570"
"232087_at"	0.000442	7.04e-07	5.6286273	5.804318	0.649	"232087_at"	"BCLAF3"	"ENSG00000173681"	"gene"	"protein_coding"	"BCLAF3"	"GPL570"
"207435_s_at"	0.0004479	7.22e-07	-5.62182228	5.781453	-0.444	"207435_s_at"	"SRRM2"	"ENST00000574331|ENST00000573583|ENSG00000167978"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|processed_transcript|protein_coding"	"SRRM2-218|SRRM2-216|SRRM2"	"GPL570"
